Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,ID,Prefix (Flat),VLAN Group,Pool,Marked Utilized,Tags,Created,Last updated,Depth
10.251.250.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,CCTV (250),CCTV,E4 - CCTV,511,10.251.250.0/24,npflan-access,False,False,,2016-10-01 00:00,2022-08-08 19:09,1
10.252.0.0/16,Container,11,NPFLAN (npflan),4.296875%,,npflan,,Distribution Network,E3,298,10.252.0.0/16,,False,False,,2016-09-03 00:00,2021-06-22 07:18,0
10.252.11.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 11 (11),Access,E3 - Vlan11,935,10.252.11.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.12.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 12 (12),Access,E3 - Vlan12,936,10.252.12.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.13.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 13 (13),Access,E3 - Vlan13,937,10.252.13.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.14.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 14 (14),Access,E3 - Vlan14,938,10.252.14.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.15.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 15 (15),Access,E3 - Vlan15,939,10.252.15.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.16.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 16 (16),Access,E3 - Vlan16,940,10.252.16.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.17.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 17 (17),Access,E3 - Vlan17,941,10.252.17.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.18.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 18 (18),Access,E3 - Vlan18,942,10.252.18.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.252.240.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Environment (240),Access,E3 - Environment,997,10.252.240.0/24,npflan-access,False,False,,2022-08-09 17:33,2022-08-09 17:33,1
10.252.248.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,AP Management (248),Wireless,E3 - Wireless Management,573,10.252.248.0/24,npflan-access,False,False,,2017-10-10 00:00,2022-08-08 19:09,1
10.252.250.0/24,Active,0,NPFLAN (npflan),1.574803149606299%,,npflan,CCTV (250),CCTV,E3 - CCTV,512,10.252.250.0/24,npflan-access,False,False,,2016-10-01 00:00,2022-08-08 19:09,1
10.253.0.0/16,Container,11,NPFLAN (npflan),4.296875%,,npflan,,Distribution Network,E2,299,10.253.0.0/16,,False,False,,2016-09-03 00:00,2021-06-22 07:18,0
10.253.11.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 11 (11),Access,E2 - Vlan11,943,10.253.11.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.12.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 12 (12),Access,E2 - Vlan12,944,10.253.12.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.13.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 13 (13),Access,E2 - Vlan13,945,10.253.13.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.14.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 14 (14),Access,E2 - Vlan14,946,10.253.14.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.15.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 15 (15),Access,E2 - Vlan15,947,10.253.15.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.16.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 16 (16),Access,E2 - Vlan16,948,10.253.16.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.17.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 17 (17),Access,E2 - Vlan17,949,10.253.17.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.18.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 18 (18),Access,E2 - Vlan18,950,10.253.18.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.253.240.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Environment (240),Access,E2 - Environment,996,10.253.240.0/24,npflan-access,False,False,,2022-08-09 17:33,2022-08-09 17:33,1
10.253.248.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,AP Management (248),Wireless,E2 - Wireless Management,572,10.253.248.0/24,npflan-access,False,False,,2017-10-10 00:00,2022-08-08 19:09,1
10.253.250.0/24,Active,0,NPFLAN (npflan),2.7559055118110236%,,npflan,CCTV (250),CCTV,E2 - CCTV,513,10.253.250.0/24,npflan-access,False,False,,2016-10-01 00:00,2022-08-08 19:09,1
10.254.0.0/16,Container,11,NPFLAN (npflan),4.296875%,,npflan,,Distribution Network,E1,300,10.254.0.0/16,,False,False,,2016-09-03 00:00,2021-06-22 07:18,0
10.254.11.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 11 (11),Access,E1 - Vlan11,951,10.254.11.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.12.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 12 (12),Access,E1 - Vlan12,952,10.254.12.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.13.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 13 (13),Access,E1 - Vlan13,953,10.254.13.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.14.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 14 (14),Access,E1 - Vlan14,954,10.254.14.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
10.254.15.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 15 (15),Access,E1 - Vlan15,955,10.254.15.0/24,npflan-access,False,False,,2021-06-26 00:00,2021-06-26 10:38,1
